name,covid_unet_frozen_test/opacity_dice_run_results,covid_unet_frozen_test/opacity_dice_mean,covid_unet_frozen_test/opacity_dice_std,covid_unet_frozen_test/opacity_dice_num_runs,covid_unet_frozen_test/opacity_dice_95_interval
ImageNet,0.4263568222522736;0.4010301530361175;0.4290340840816498;0.3963971138000488;0.4420578181743622,0.4189751982688904,0.0194953292150651,5.0,0.0170884094965002
byol_100,0.41730234026908875;0.4159446060657501;0.3656237423419952;0.45383885502815247;0.4451918601989746,0.4195802807807922,0.034493905598169,5.0,0.0302352413489708
byol_30,0.5032232403755188;0.4831931293010712;0.4654123187065125;0.4616276025772095;0.4625374376773834,0.475198745727539,0.017955091692755,5.0,0.0157383317823588
chexpert_30,0.3822653293609619;0.48228898644447327;0.4418717622756958;0.44750022888183594;0.45225197076797485,0.4412356555461884,0.0364824754510671,5.0,0.0319782996776529
chexpert_100,0.4516259729862213;0.4092483818531037;0.4991647601127625;0.5114228129386902;0.42434999346733093,0.4591623842716217,0.0449762441834876,5.0,0.0394234162318279
ConVIRT_100,0.43945929408073425;0.4663239121437073;0.4590109586715698;0.47058165073394775;0.4657999277114868,0.4602351486682892,0.0123311058551653,5.0,0.0108086908445189
ConVIRT_30,0.4023057222366333;0.4903077483177185;0.4669130742549896;0.4315713346004486;0.42022547125816345,0.4422646701335907,0.0357507776700897,5.0,0.0313369382945705
LoVT_100,0.4799465835094452;0.41766583919525146;0.48299333453178406;0.4535195827484131;0.4777686297893524,0.4623787939548492,0.0276051059886558,5.0,0.0241969422585546
LoVT_30,0.49403777718544006;0.5450481176376343;0.4397992193698883;0.5432164072990417;0.43641534447669983,0.4917033731937408,0.053045996993414,5.0,0.046496866442917
pixelpro_30,0.43486344814300537;0.4263322949409485;0.3963068723678589;0.42948365211486816;0.40547242760658264,0.4184917390346527,0.0166733328124266,5.0,0.0146148205873849
pixelpro_100,0.36084821820259094;0.4004085063934326;0.3959020078182221;0.4401756227016449;0.42002397775650024,0.40347166657447814,0.029599832921586383,5.0,0.02594539750583891
random,0.2867628037929535;0.3367394804954529;0.3280521035194397;0.3317669928073883;0.32889997959136963,0.3224442720413208,0.0202333710577793,5.0,0.0177353316948752
simclr_100,0.46542856097221375;0.4384523332118988;0.46565401554107666;0.420093297958374;0.4166446626186371,0.44125457406044,0.0236696762176423,5.0,0.0207473859709989
simclr_30,0.3903274536132813;0.3818018138408661;0.3814569115638733;0.4710429012775421;0.446165531873703,0.4141589224338531,0.0416669923155873,5.0,0.0365227290763609
