name,object_finetune_full_test/froc_run_results,object_finetune_full_test/froc_mean,object_finetune_full_test/froc_std,object_finetune_full_test/froc_num_runs,object_finetune_full_test/froc_95_interval,object_finetune_full_test/mAP_run_results,object_finetune_full_test/mAP_mean,object_finetune_full_test/mAP_std,object_finetune_full_test/mAP_num_runs,object_finetune_full_test/mAP_95_interval,object_finetune_full_test/mAP@0.5_run_results,object_finetune_full_test/mAP@0.5_mean,object_finetune_full_test/mAP@0.5_std,object_finetune_full_test/mAP@0.5_num_runs,object_finetune_full_test/mAP@0.5_95_interval
ImageNet,0.6157635450363159;0.6271639466285706;0.6271639466285706;0.6271639466285706;0.6271639466285706,0.6248838663101196,0.0050984145862156,5.0,0.0044689574241638,0.145541712641716;0.14735481142997742;0.14735481142997742;0.14735481142997742;0.14735481142997742,0.1469921916723251,0.000810842428095,5.0,0.0007107347249984,0.21346309781074524;0.21635101735591888;0.21635101735591888;0.21635101735591888;0.21635101735591888,0.2157734334468841,0.0012915168833117,5.0,0.001132064461708
byol_100,0.6060521006584167;0.5971850752830505;0.6274454593658447;0.604503870010376;0.5971850752830505,0.6064743161201477,0.0124140018070158,5.0,0.0108813523500107,0.15282714366912842;0.1683875471353531;0.14930665493011477;0.17094296216964722;0.1683875471353531,0.1619703710079193,0.0100850880279324,5.0,0.0088399694166943,0.2346016615629196;0.24745045602321625;0.21713250875473025;0.26422926783561707;0.24745045602321625,0.2421728700399398,0.0175109494491249,5.0,0.0153490239409718
byol_30,0.5884588360786438;0.6170302629470825;0.5905700325965881;0.5943701863288879;0.5905700325965881,0.5961998701095581,0.0118381455179379,5.0,0.0103765920574123,0.18554189801216123;0.16427162289619446;0.15830789506435394;0.1607816517353058;0.15830789506435394,0.1654421925544738,0.0114987546596671,5.0,0.0100791028536383,0.2757463753223419;0.24411913752555847;0.24036508798599243;0.240851029753685;0.24036508798599243,0.248289343714714,0.0154288315877575,5.0,0.0135239671674997
chexpert_30,0.6135116219520569;0.6332160234451294;0.623223066329956;0.6194229125976562;0.6194229125976562,0.6217593073844909,0.0072859578872101,5.0,0.006386423669865,0.16536276042461395;0.11764101684093475;0.17886003851890564;0.180649533867836;0.180649533867836,0.1646325767040252,0.0270381506851929,5.0,0.0236999840238458,0.249618336558342;0.16768081486225128;0.25831204652786255;0.26254820823669434;0.26254820823669434,0.2401415228843689,0.0408492693659041,5.0,0.0358059633082776
chexpert_100,0.5876143574714661;0.5563687682151794;0.5812807679176331;0.5701618790626526;0.5812807679176331,0.5753413081169129,0.0123284818769285,5.0,0.010806390826185,0.1093638390302658;0.10660788416862488;0.13314583897590637;0.11878883838653564;0.13314583897590637,0.1202104479074478,0.0126426690439674,5.0,0.0110817880205426,0.15735168755054474;0.15059958398342133;0.1893910765647888;0.17267726361751556;0.1893910765647888,0.1718821376562118,0.017873438252134,5.0,0.0156667593859793
ConVIRT_100,0.6133708953857422;0.588740348815918;0.6212526559829712;0.5953553915023804;0.6118226647377014,0.6061083912849426,0.013527948326341,5.0,0.0118577695250908,0.14814725518226624;0.15849502384662628;0.1248851865530014;0.1528453528881073;0.1515234410762787,0.147179251909256,0.0130094749587128,5.0,0.0114033075808311,0.222463920712471;0.22882933914661407;0.1936262547969818;0.2208694964647293;0.21566052734851837,0.2162899076938629,0.0135126393931001,5.0,0.011844350653458
ConVIRT_30,0.625897228717804;0.624349057674408;0.6247712969779968;0.624349057674408;0.6247712969779968,0.6248275876045227,0.0006341236410437,5.0,0.0005558338784652,0.1959339827299118;0.1454974114894867;0.1957639157772064;0.1454974114894867;0.1957639157772064,0.1756913274526596,0.0275632355645587,5.0,0.0241602412136597,0.27427801489830017;0.22137662768363953;0.2780918478965759;0.22137662768363953;0.2780918478965759,0.2546429932117462,0.0304077860078269,5.0,0.026653599611037
LoVT_100,0.6228008270263672;0.6150597929954529;0.6268824934959412;0.6150597929954529;0.6268824934959412,0.6213370800018311,0.0059677139952004,5.0,0.0052309319521096,0.15500454604625702;0.1975771188735962;0.16049739718437195;0.1975771188735962;0.16049739718437195,0.1742307156324386,0.02142990175401,5.0,0.0187841370926585,0.22746479511260984;0.2850914001464844;0.2461266815662384;0.2850914001464844;0.2461266815662384,0.2579801917076111,0.0258951543764732,5.0,0.022698103585669
LoVT_30,0.6301196217536926;0.5950738787651062;0.6019704341888428;0.6019704341888428;0.6216748952865601,0.6101618528366088,0.0149391124829285,5.0,0.0130947094458548,0.16017349064350128;0.18194133043289185;0.18171587586402893;0.18171587586402893;0.14236558973789215,0.1695824325084686,0.0178638459650218,5.0,0.0156583513756106,0.2307395190000534;0.25770071148872375;0.2577812373638153;0.2577812373638153;0.20061922073364255,0.24092438519001,0.0253869545025693,5.0,0.0222526467557002
pixelpro_30,0.6318085789680481;0.6440534591674805;0.6181562542915344;0.6190007328987122;0.6291344165802002,0.6284306883811951,0.0106120733306459,5.0,0.0093018924010184,0.10993298888206482;0.171679750084877;0.1879463493824005;0.17833545804023743;0.11429265141487122,0.1524374395608902,0.0372944692360129,5.0,0.0326900436114278,0.150638610124588;0.24669326841831207;0.27471593022346497;0.2712157070636749;0.16655832529067993,0.2219643682241439,0.0591124638669563,5.0,0.0518143591094136
pixelpro_100,0.6291344165802002;0.6139338612556458;0.6077409982681274;0.6264602541923523;0.6139338612556458,0.6182406783103943,0.009132025904015248,5.0,0.008004573631917488,0.17467212677001953;0.16080531477928162;0.189630389213562;0.15127217769622803;0.16080531477928162,0.16743706464767455,0.014951200302884719,5.0,0.013105304887206543,0.2524874210357666;0.22911372780799863;0.27375301718711853;0.2216813564300537;0.22911372780799863,0.24122985005378722,0.021565213564348498,5.0,0.01890274312384004
random,0.5024630427360535;0.5040112733840942;0.4706544578075409;0.4947220385074615;0.5031667947769165,0.4950035214424133,0.0141100958274977,5.0,0.0123680443082138,0.13023202121257782;0.12225125730037688;0.08142034709453583;0.08628570288419724;0.11515945941209792,0.1070697575807571,0.0219219117205083,5.0,0.0192154028430919,0.18101535737514496;0.18328170478343964;0.12331318855285645;0.1193523183465004;0.1715734601020813,0.1557072058320045,0.0317160990314122,5.0,0.0278003865388183
simclr_100,0.6143561005592346;0.6181562542915344;0.6019704341888428;0.6181562542915344;0.6019704341888428,0.6109218955039978,0.0083174962856689,5.0,0.0072906069421642,0.1916930675506592;0.16862544417381287;0.16650798916816711;0.16862544417381287;0.16650798916816711,0.1723919868469238,0.0108414512533616,5.0,0.0095029510150886,0.27043163776397705;0.24030473828315735;0.244681715965271;0.24030473828315735;0.244681715965271,0.2480809092521667,0.0126846537683388,5.0,0.0111185892540453
simclr_30,0.6156228184700012;0.6163265109062195;0.6211118698120117;0.6081632375717163;0.6333568096160889,0.6189162492752075,0.0093076745818193,5.0,0.0081585364863388,0.17528292536735535;0.1479579210281372;0.1738235354423523;0.18806055188179016;0.1564709097146988,0.1683191686868667,0.0159959043025427,5.0,0.0140210283177702,0.2661738395690918;0.2192562371492386;0.2543466091156006;0.27203983068466187;0.2322680652141571,0.2488169163465499,0.0224657643128218,5.0,0.0196921106586237
