name,object_seg_lin_full_test/avg_dice_run_results,object_seg_lin_full_test/avg_dice_mean,object_seg_lin_full_test/avg_dice_std,object_seg_lin_full_test/avg_dice_num_runs,object_seg_lin_full_test/avg_dice_95_interval
ImageNet,0.3782588839530945;0.3783777952194214;0.37819159030914307;0.37754911184310913;0.378293514251709,0.3781341791152954,0.0003338740580737,5.0,0.0002926535151924
byol_100,0.21865040063858032;0.21757489442825317;0.21751336753368375;0.21939300000667572;0.21897488832473755,0.2184213101863861,0.0008431921183238,5.0,0.0007390904787083
byol_30,0.3220893442630768;0.32187598943710327;0.3243562579154968;0.32530710101127625;0.32286402583122253,0.3232985436916351,0.0014855715669207,5.0,0.0013021608915576
chexpert_30,0.2315635681152344;0.2242962270975113;0.06879699230194092;0.23216062784194944;0.06879699230194092,0.1651228815317154,0.0879875885584259,5.0,0.0771245218436258
chexpert_100,0.1947108656167984;0.19451671838760376;0.1947368085384369;0.19262607395648956;0.19561000168323517,0.1944400936365127,0.0010984740311118,5.0,0.000962854941193
ConVIRT_100,0.35973620414733887;0.35962411761283875;0.3596894443035126;0.36049726605415344;0.3594517707824707,0.3597997605800628,0.0004045585058314,5.0,0.0003546111654066
ConVIRT_30,0.3757972121238709;0.3781517744064331;0.3762306571006775;0.3779945969581604;0.37796974182128906,0.3772287964820862,0.0011217235190856,5.0,0.0009832340159292
LoVT_100,0.3989646136760712;0.399026483297348;0.39888495206832886;0.3988021910190582;0.3988736867904663,0.3989103853702545,8.677426759019395e-05,5.0,7.606099912353677e-05
LoVT_30,0.3772648274898529;0.3769781291484833;0.3772738873958587;0.37429991364479065;0.3735426068305969,0.3758718729019165,0.0018045987327803,5.0,0.0015818005319338
pixelpro_30,0.2958431839942932;0.2915402054786682;0.2938893139362335;0.29590174555778503;0.29870903491973877,0.2951766967773437,0.0026612373645319,5.0,0.0023326773993314
pixelpro_100,0.288387656211853;0.2845686972141266;0.28594970703125;0.28606370091438293;0.28444623947143555,0.28588320016860963,0.0015891883004468849,5.0,0.0013929849629878647
random,0.06879699230194092;0.06879699230194092;0.06879699230194092;0.06879699230194092;0.06879699230194092,0.0687969923019409,0.0,5.0,0.0
simclr_100,0.29967233538627625;0.29966920614242554;0.2996829152107239;0.2996629476547241;0.29970142245292664,0.2996777653694152,1.507056914973456e-05,5.0,1.320993629473973e-05
simclr_30,0.33147138357162476;0.3306267261505127;0.33239319920539856;0.3322155177593231;0.3314998149871826,0.3316413283348083,0.0007023759932781,5.0,0.0006156597029596
