name,rsna_finetune_test/mAP_run_results,rsna_finetune_test/mAP_mean,rsna_finetune_test/mAP_std,rsna_finetune_test/mAP_num_runs,rsna_finetune_test/mAP_95_interval,rsna_finetune_test/mAP@0.5_run_results,rsna_finetune_test/mAP@0.5_mean,rsna_finetune_test/mAP@0.5_std,rsna_finetune_test/mAP@0.5_num_runs,rsna_finetune_test/mAP@0.5_95_interval,rsna_finetune_test/mAP@0.75_run_results,rsna_finetune_test/mAP@0.75_mean,rsna_finetune_test/mAP@0.75_std,rsna_finetune_test/mAP@0.75_num_runs,rsna_finetune_test/mAP@0.75_95_interval
ImageNet,0.13627295196056366;0.1211005598306656;0.11925678700208664;0.11404746770858765;0.1311681568622589,0.1243691846728324,0.0091006051703404,5.0,0.0079770321445287,0.1947004646062851;0.1768999844789505;0.17261897027492523;0.17126357555389404;0.1912895143032074,0.1813545018434524,0.0108949325922546,5.0,0.0095498294755312,0.009113726206123827;0.014388571493327618;0.009042559191584589;0.010765830986201763;0.008091108873486519,0.0102803593501448,0.0024899342108587,5.0,0.0021825235647531
byol_100,0.10903757065534592;0.11135804653167725;0.10498571395874023;0.11084044724702836;0.11135804653167725,0.1095159649848938,0.0027061419773922,5.0,0.0023720380279402,0.16548265516757965;0.17073050141334534;0.16020256280899048;0.1701064556837082;0.17073050141334534,0.1674505352973938,0.0046091193828102,5.0,0.0040400712684992,0.005494929850101471;0.005756090860813856;0.0030158408917486668;0.005545176565647125;0.005756090860813856,0.0051136258058249,0.0011787549652042,5.0,0.0010332242825567
byol_30,0.12018127739429474;0.1297658234834671;0.11470122635364532;0.0991542786359787;0.13001564145088196,0.1187636494636535,0.0127543672086724,5.0,0.0111796957787256,0.17016039788722992;0.19682937860488892;0.16696755588054657;0.14433524012565613;0.19808657467365265,0.1752758294343948,0.0225687876078145,5.0,0.0197824145582446,0.009590614587068558;0.007269826717674732;0.008268112316727638;0.0042906878516077995;0.007566004991531372,0.007397049292922,0.0019535027839085,5.0,0.0017123206874694
chexpert_30,0.13354730606079102;0.1068285033106804;0.12288613617420197;0.1498655527830124;0.1068285033106804,0.1239912003278732,0.0183789198291352,5.0,0.0161098335236583,0.20124037563800812;0.1596255898475647;0.18245075643062592;0.22221194207668304;0.1596255898475647,0.1850308507680892,0.0271233004033274,5.0,0.0237746210425871,0.010052157565951347;0.006658165715634823;0.005082344636321068;0.011912891641259192;0.006658165715634823,0.0080727450549602,0.0028111102687026,5.0,0.0024640467920021
chexpert_100,0.1165180802345276;0.1251240074634552;0.13861685991287231;0.1277102380990982;0.11237755417823792,0.1240693479776382,0.0102435123101061,5.0,0.0089788344226712,0.17496274411678314;0.18855339288711548;0.19696557521820068;0.1889659613370895;0.16995471715927124,0.183880478143692,0.0110947153650831,5.0,0.0097249467969562,0.01047493051737547;0.006626819260418415;0.010301366448402405;0.006532290019094944;0.005711547564715147,0.0079293907620012,0.002273403437216,5.0,0.0019927259733514
ConVIRT_100,0.13114941120147705;0.15004612505435944;0.12820665538311005;0.12939146161079407;0.12642787396907806,0.1330443054437637,0.0096588791520717,5.0,0.0084663808652312,0.18745659291744232;0.2201666682958603;0.19216753542423248;0.19071291387081143;0.18567514419555664,0.1952357709407806,0.0141716366615696,5.0,0.0124219872276575,0.009186659008264542;0.01267081405967474;0.006572036538273096;0.009939046576619148;0.007759964093565941,0.0092257040552794,0.0023221493242797,5.0,0.0020354536272538
ConVIRT_30,0.13004249334335327;0.12877647578716278;0.1353400945663452;0.09757773578166962;0.14114265143871307,0.1265758901834487,0.0169318832761598,5.0,0.0148414500610934,0.20003144443035129;0.189484104514122;0.20360681414604187;0.14935173094272614;0.21104638278484344,0.1907040953636169,0.0243864443440912,5.0,0.0213756609348981,0.005534294992685318;0.01102977618575096;0.011407476849853992;0.004093712195754051;0.014306087978184223,0.0092742696404457,0.0042946815311651,5.0,0.003764454339396
LoVT_100,0.12380903214216232;0.1269942671060562;0.13860294222831726;0.13762642443180084;0.1313585340976715,0.1316782400012016,0.0064671988764576,5.0,0.0056687497542136,0.17594413459300995;0.1814885437488556;0.19613900780677795;0.20655226707458496;0.1925512403249741,0.1905350387096405,0.0121115099915982,5.0,0.0106162065833416,0.011274042539298534;0.00867873802781105;0.02194744534790516;0.01005813479423523;0.016470346599817276,0.0136857414618134,0.0054784961917411,5.0,0.0048021136404891
LoVT_30,0.1195145547389984;0.11023660004138948;0.1220771297812462;0.11023660004138948;0.1220771297812462,0.1168284028768539,0.0061077289008181,5.0,0.0053536604280648,0.18163222074508667;0.15842796862125397;0.18012593686580658;0.15842796862125397;0.18012593686580658,0.1717480063438415,0.0121750148239523,5.0,0.0106718710231826,0.006453335285186768;0.009486761875450613;0.010739944875240326;0.009486761875450613;0.010739944875240326,0.0093813497573137,0.0017526446849827,5.0,0.0015362608011618
pixelpro_30,0.13771039247512817;0.12084395438432692;0.10676611959934236;0.10060743987560272;0.08411933481693268,0.1100094482302665,0.0203343536283055,5.0,0.017823846820633,0.20797012746334076;0.1741088330745697;0.15456587076187134;0.14835695922374725;0.12311869859695436,0.1616240978240966,0.0316714555362574,5.0,0.0277612547899699,0.012881879694759846;0.01567051373422146;0.00414515333250165;0.004450665786862373;0.0035554543137550354,0.00814073337242,0.0056960974235439,5.0,0.0049928495298382
pixelpro_100,0.10878672450780869;0.06328827887773514;0.11718612164258956;0.11950057744979858;0.13562053442001343,0.10887644737958908,0.027273880248686856,5.0,0.02390661009653105,0.1589365005493164;0.0939856618642807;0.16426439583301544;0.1768440306186676;0.1949802190065384,0.15780216157436372,0.03827660369893504,5.0,0.03355092242490634,0.0067223552614450455;0.0019170723389834168;0.010428288951516151;0.01007900107651949;0.012537041679024696,0.00833675186149776,0.004149426340816241,5.0,0.003637132551351783
random,0.04170721024274826;0.05130837112665176;0.07156910747289658;0.03601403534412384;0.05472664535045624,0.0510650739073753,0.0136746578167786,5.0,0.0119863660633674,0.059921376407146454;0.0692063644528389;0.10838165134191512;0.05374889448285103;0.08066748827695847,0.074385154992342,0.0215470733846543,5.0,0.0188868425552713,0.001024957513436675;0.0006124189239926636;0.0015926408814266324;0.0005554702947847545;0.0017996535170823336,0.0011170282261446,0.0005636132450364,5.0,0.0004940287913369
simclr_100,0.11568548530340196;0.12251001596450806;0.1270238161087036;0.11167993396520616;0.13390710949897766,0.1221612721681594,0.008853317407245,5.0,0.0077602748632009,0.16067780554294586;0.17296387255191803;0.18802936375141144;0.1586824655532837;0.1978430896997452,0.1756393194198608,0.0170664907030152,5.0,0.0149594386729296,0.016117116436362267;0.012623400427401066;0.013926305808126926;0.009351175278425217;0.007414556574076414,0.0118865109048783,0.0035010032438675,5.0,0.0030687646471522
simclr_30,0.13096186518669128;0.13718309998512268;0.13079029321670532;0.12330599129199982;0.12332775443792345,0.1291138008236885,0.0058853322320189,5.0,0.0051587211528582,0.18589042127132416;0.20277807116508484;0.19014756381511688;0.17891192436218262;0.17773710191249847,0.1870930165052414,0.0101397835377179,5.0,0.0088879121448484,0.017026387155056;0.01854129321873188;0.010049340315163136;0.008686473593115807;0.008470473811030388,0.0125547936186194,0.0048413890202973,5.0,0.0042436645823231
