name,paper_name,baseline,category,has_local,has_global,order
random,Random Init.,true,results_general,false,false,1
ImageNet,ImageNet~\cite{ImageNet} Init.,true,results_general,false,false,2
chexpert_30,Chexpert~\cite{chexpert},true,results_pretrain_30,false,false,1
byol_30,BYOL~\cite{BYOL},true,results_pretrain_30,false,false,2
simclr_30,SimCLR~\cite{SimCLR},true,results_pretrain_30,false,false,3
pixelpro_30,PixelPro~\cite{PixelPro},true,results_pretrain_30,false,false,4
ConVIRT_30,ConVIRT~\cite{ConVIRT},true,results_pretrain_30,false,true,5
LoVT_30,LoVT (Ours),false,results_pretrain_30,true,true,6
chexpert_100,Chexpert~\cite{chexpert},true,results_pretrain_100,false,false,1
byol_100,BYOL~\cite{BYOL},true,results_pretrain_100,false,false,2
simclr_100,SimCLR~\cite{SimCLR},true,results_pretrain_100,false,false,3
pixelpro_100,PixelPro~\cite{PixelPro},true,results_pretrain_100,false,false,4
ConVIRT_100,ConVIRT~\cite{ConVIRT},true,results_pretrain_100,false,true,5
LoVT_100,LoVT (Ours),false,results_pretrain_100,true,true,6
LoVT_30,LoVT (Ours),false,ablation_variance,true,true,1
ablation_no_l,no local loss,false,ablation_variance,false,true,2
ablation_no_g,no global loss,false,ablation_variance,true,false,3
